Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Kingdom,,,,,,,,,,,,4149067,4279612,4424528,4829346,4990440,5154371,5285143,5344922,5380774,5360097,5341849,5329275,5296000,5173000,5024000,4877000,4688000,4508000,4365912,4284000,4335600,4433500,4868593,4938261,4986597,5000486,4975266,5012393,5202387,5314730,5376980,5518839,5541262,5712635,5760887,5357793,5306369,5356450,5429636,5538230,5000332,4849275,6496973,6556991.5,6374675,,6386316.5,6173690.5,,
Georgia,,,,,,,,,,,,,,,,,,,,,,687475,,,,,668884,,,,,567998,530751,466166,453502,437413,441557,444058,,442373,443643,448564,450787,452685,312333,316430,314427,321171,305388,341649,,,,292596,281739,277874,274579,275464,280425,282929,
Ghana,,,,,,,,,,,,545414,,547486,534589,536660,555980,576979,592262,613710,659950,693159,695466,729565,753665,751192,779980,797528,862914,793388,829518,,,,,940948,,,,1024135,1056616,1031402,1098873,1166604,1276670,1370261,1454097,1617803,1723734,1812084,,2148266,2223821,2356686,2265692,2439501,2511865,2550714,2677145,2851160,
Gibraltar,,,,,,,,,,,,1794,1447,1518,1589,1605,1629,1777,1769,1803,1813,1811,1842,1832,1825,1806,,,,,,,,,,,,,,1370,1471,1550,,,,,,,1674,1657,,,,,,,2100,2212,,2157,
Guinea,,,,,,,,,,,,63409,,,,,,83020,91011,92404,97130,98305,93660,94848,97719,101121,92754,82088,,81325,78659,85942,,106811,116377,,132722,,,167608,,235210,276084,305717,344630,420057,482825,,530705,,,640245,657383,,715702,,,,,,
"Gambia, The",,,,,,,,,,,,5042,5482,5791,5997,6162,6618,7456,7588,8101,8940,9657,10569,12424,14430,15913,15918,15978,16136,17310,18510,20400,21786,25929,27120,31567,32097,,,,,,,,,,,,116924,123022,124397,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,4215,4023,,,,2153,3177,3731,4290,4256,4757,6294,8432,9634,9384,,6450,5468,6330,,,,,,,,,,,25780,,,,,50507,55176,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,6014,,,,,4523,,,,2729,,,4368,,,,,,,,,,17535,16616,,,,,20056,20705,19809,21173,,,25544,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,520323,569319,593442,618417,635140,661796,677884,689784,697336,725263,740058,778024,753096,790368,802817,813534,835845,840020,847495,843732,851353,870235,843403,851294,842633,835158,817566,798668,770883,738744,743462,756839,713850,695838,715537,704515,682012,,,716601,692302,692957,694933,667718,662741,662446,667797,668196,,
Grenada,,,,,,,,,,,,4081,5178,4773,4872,9910,10197,10088,10077,9797,9413,8626,8645,8578,9994,9694,9571,9669,9600,9319,9406,9776,9896,10213,,,,,,,,,14467,14860,13660,12549,,13060,12469,11031,11500,,,10040,9736,9309,9185,8834,9135,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,75474,65708,73506,75155,90462,99233,111228,119105,159040,168010,171903,181721,177948,185959,194484,204049,223473,,,,,294907,,334383,357878,372006,375528,384729,399652,434912,503884,547913,608420,,698561,754496,809131,864154,902796,982650,1082320,1113881,1139559,1159708,1165624,1220652,1220113,1220327,1227191,1195065,
Guam,,,,,,,,,,,,10055,10602,11315,11873,12629,13242,13300,12000,14677,15308,14935,14759,13141,14063,14223,14557,14416,14595,16017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,60412,65412,68092,67853,,71327,,,,,,,,67362,70731,76546,76012,,,,,,,,,,,,62478,,72028,,64954,,70615,,72970,74673,77945,80676,86540,85934,,,,,,,,
High income,,,,,,,,,,,72000000,77800000,79900000,81700000,83600000,84900000,86200000,87500000,88300000,87400000,90700000,90900000,91500000,91600000,91900000,91700000,92400000,92400000,91600000,90800000,89900000,89600000,89900000,91800000,93600000,93700000,93700000,89800000,92800000,92900000,93000000,93700000,94000000,94700000,94100000,94700000,94200000,93900000,93700000,93100000,92800000,91900000,91400000,93500000,93100000,92700000,92200000,92100000,91800000,91200000,
"Hong Kong SAR, China",,,,,,,,,,,,230879,250906,273988,301096,338400,368655,395621,424538,453546,463798,468975,464923,459611,453369,454061,450367,455738,458444,,,,,,,,473817,,,,,490039,488537,487218,492779,498354,500708,510284,513787,511872,508269,486817,486942,439093,415971,393952,371900,357158,349086,341388,
Honduras,,,,,,,,,,,39839,47345,52325,,66411,56705,63115,93330,109390,111534,127293,,147990,156665,164453,184112,179444,,,,,194083,,203192,,,,,,,,,,,,,524367,554297,566938,,655294,663115,659558,642654,619832,637727,651807,655090,,688235,
Heavily indebted poor countries (HIPC),,,,,,,,,,,3351435,3463568,3666841,3854035,4012065,4327490,4634805,4980374,5341922,5744645,6218625,6704643,6915132,7277292,7641491,7831891,8021809,8261584,8690604,8795618,9030276,9408046,9595034,9873040,10400000,11000000,11500000,11800000,12600000,13400000,14200000,15400000,16500000,17700000,19300000,20900000,22800000,24700000,27000000,29200000,31600000,33700000,35700000,37600000,39200000,40500000,41900000,43300000,45100000,46400000,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420705,435864,421233,417475,416829,416907,416388,410407,405164,401921,399845,,400123,395836,392952,391637,391437,388515,384008,380753,379102,370356,360205,349018,339838,332460,,
Haiti,,,,,,,,,,,,,,,,,,,,84454,91247,99894,101519,120316,137513,,143758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,1053264,998489,957390,905470,875361,855662,848081,852820,873465,893541,917219,941953,958032,971755,998337,1042754,1076516,1107224,1126937,1139788,1137932,1114493,,1156874,1128911,1112149,1103907,1017745,1006546,1001855,1007476,1013471,1029979,963242,960215,948856,937323,924414,913392,904848,882609,864391,890759,857807,826626,808744,807705,808569,,
IBRD only,,,,,,,,,,,103000000,112000000,121000000,129000000,132000000,138000000,150000000,167000000,179000000,192000000,189000000,189000000,187000000,189000000,194000000,190000000,210000000,217000000,222000000,224000000,228000000,235000000,242000000,251000000,258000000,267000000,278000000,289000000,298000000,305000000,316000000,325000000,335000000,344000000,352000000,356000000,358000000,364000000,368000000,368000000,374000000,380000000,383000000,388000000,395000000,393000000,395000000,394000000,400000000,402000000,
IDA & IBRD total,,,,,,,,,,,116000000,125000000,135000000,143000000,147000000,153000000,166000000,184000000,197000000,210000000,209000000,210000000,209000000,214000000,220000000,217000000,237000000,246000000,251000000,253000000,258000000,267000000,276000000,286000000,294000000,306000000,318000000,331000000,342000000,351000000,365000000,376000000,389000000,402000000,412000000,419000000,426000000,434000000,442000000,446000000,457000000,467000000,474000000,484000000,491000000,494000000,497000000,499000000,508000000,513000000,
IDA total,,,,,,,,,,,13100000,13600000,14300000,15100000,15600000,16400000,17000000,17700000,18600000,19500000,20900000,21700000,23000000,24800000,26400000,27600000,27700000,28700000,29500000,30000000,30600000,32700000,34400000,35600000,37200000,39200000,40800000,42300000,44600000,46500000,48900000,51900000,54700000,58100000,61300000,63900000,67900000,70800000,74600000,79000000,83800000,87500000,91600000,96600000,96900000,101000000,103000000,105000000,109000000,111000000,
IDA blend,,,,,,,,,,,4442852,4724920,5036315,5381324,5701739,6097491,6395221,6658609,7022225,7246987,7834679,8460829,9192307,10100000,11100000,11900000,11600000,12200000,12400000,12400000,12900000,13800000,14700000,14900000,15100000,15500000,15700000,16000000,16400000,16700000,17300000,18400000,19100000,20100000,21700000,22600000,24300000,25200000,26700000,28000000,29700000,30800000,32100000,35000000,33700000,35300000,35200000,35600000,37100000,38300000,
Indonesia,,,,,,,,,,,2459875,2640400,2783738,2965852,3189469,3570080,3833129,4084307,4467512,,,5721815,6320013,7222213,7445917,,9479086,10906515,11545063,11693361,11243323,10965430,10920580,10969305,11360349,12223753,13095913,14209974,14397038,14502561,14720390,14828085,15140713,15872535,16353933,15993187,16797808,18716928,18314900,19520704,19975916,20777856,21445796,22322494,22586956,23756316,23632854,24318262,24893570,,
IDA only,,,,,,,,,,,8117686,8340111,8659079,9059213,9265869,9632334,9967172,10400000,10900000,11600000,12500000,12600000,13200000,14100000,14700000,15100000,15400000,15900000,16500000,16800000,17000000,18200000,19100000,20100000,21400000,23100000,24500000,25700000,27800000,29300000,31000000,32900000,34900000,37400000,38900000,40700000,43000000,45000000,47400000,50500000,53600000,56200000,59000000,61100000,62800000,64800000,67700000,68900000,71400000,72500000,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,21143698,21964372,22823568,,24494950,25196116,26265096,27178592,,30592436,32748396,35016992,37922992,40266884,,44484544,44873656,45879040,47021876,,,,62245636,64115976,65206356,66633720,68872392,,67089892,71030512,72392728,76215688,81050128,84569080,89461792,91529432,96049056,101783936,101110384,107686864,113727864,119148200,119400528,129438992,129542056,132161360,129829192,131759760,130932816,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,208705,215359,229875,241767,256652,270956,281121,288110,292658,295592,300601,309600,316878,324409,332565,338256,341681,342791,341800,342364,345941,352408,381630,387813,390680,389374,389353,354252,346316,338247,328424,323043,320620,320560,317337,313479,316015,318382,326543,336464,331047,340829,,348116,354670,360088,392294,491761,,
"Iran, Islamic Rep.",,,,,,,,,,,,1056787,1468340,1605769,1766906,1989567,2183137,2356878,,,,,,,,3107548,,,3861050,,4696606,5084832,5619057,6322988,7059037,7652829,,8776792,,9726948,9954767,9933471,9916372,9704392,9440807,9066410,8805028,8323213,8187132,7877610,7347083,7237005,7118357,5868528,5794537,5712478,5713648,5684238,,,
Iraq,,,,,,,,,,,,313972,325115,364986,405006,479885,525255,593928,716822,845992,969987,1033418,1110655,1065588,1068224,1131521,1190833,1178761,1163694,1166859,,,,1144938,,,1160421,,,1105028,1224253,1257106,,1477616,1706234,,,2037509,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,23144,24105,,,25028,25853,26506,26251,26699,25457,26643,26769,26627,26803,27237,27559,28218,28037,28586,29059,29465,29985,30233,30163,30253,30463,,33225,32480,32133,32186,33486,34587,32700,33323,33900,34434,35075,35075,35623,35217,36127,38238,37530,36818,35651,35161,35171,,
Israel,,,,,,,,,,,,,,276004,282145,285111,289282,294678,303575,312658,324725,334426,350994,369703,386892,404893,413395,431116,447393,462580,468620,488852,506892,515297,523338,533797,541737,,,629372,649597,657804,672920,671049,667835,673005,679666,684478,686777,693877,708340,719916,733102,751930,767729,784752,808672,819462,836774,,
Italy,,,,,,,,,,,,3823556,4019028,4241657,4442157,4582780,4875179,5067343,5208725,5270298,5297087,5307989,5300387,5319934,5324722,5338731,5361579,5362202,5338012,5284637,5245132,5117897,5010467,4892194,4938465,4825719,4708406,4602243,4490474,4450012,4404331,4473362,4515802,4528300,4505699,4507408,4531571,4553163,4575124,4575921,4626426,4630305,4572722,4594302,4596916,4606017,4589550,4601869,4630438,,
Jamaica,,,,,,,,,,,,,,165614,158661,196605,216248,225741,,239759,255231,248001,238063,242389,237758,243575,237713,236391,247499,241000,,252070,,235071,,,,,,231177,228764,227703,228316,229701,245533,246332,,257186,262608,266933,260371,260325,,228935,223920,215200,216813,204080,200563,203115,
Jordan,,,,,,,,,,,,97612,102359,112592,125928,143326,164186,185700,209742,231088,248643,266368,281192,295989,311402,332430,335835,345122,357475,366788,384279,409124,438901,458450,484588,,534491,,,579445,583535,,606615,613120,615731,625682,649242,670836,700342,,709712,719420,724356,731607,749134,,,763694,789822,832784,
Japan,,,,,,,,,,,,8719908,8642922,8643419,8684531,8731393,8843511,8993333,9152766,9281837,9288159,9557563,9833282,10071175,10278607,10613444,11058133,11250252,11339836,11310029,11143930,11025720,10676866,10255337,10202510,9878568,9643000,,9174287,8958699,8782114,8605812,8394050,8131217,7894456,7710439,7561241,7427059,7355678,7299966,7296330,7284867,7288434,7280759,7227485,7221135,7157298,7093113,6995597,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,1996100,,,,,2173900,,,2202800,2186700,2144400,2115400,2064100,2019700,,,1921302,1891946,1966471,1994493,,,,,,2102151,,,,1817975,1763841,1718429,1658826,1661586,1679274,1713090,1768145,1842919,1928070,
Kenya,,,,,,,,,,,299881,324167,355842,381342,422242,468408,538962,572210,636200,683591,788005,800062,830553,902333,986034,1275375,1310594,1437622,1474280,,,,,,,,,,,1822161,1908703,1999415,2063409,2197336,2422419,2468483,2583755,2729040,3106919,3204379,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,631400,,,,,657300,,,656100,656400,651200,649600,635393,609922,606443,530854,,,633356,659451,683832,689036,739259,732618,721205,718585,713613,,700801,693521,678031,663414,650780,650516,643407,660375,660063,675200,697776,
Cambodia,,,,,,,,,,,,86999,102222,,,,,,,,,,,,,,,,,,,264419,,,,,,,312333,316343,351357,396876,475637,560197,630102,,811797,875120,930200,,,,,,,,,,,,
Kiribati,,,,,,,,,,,824,896,926,974,1055,1100,,1300,1646,2062,2440,1900,1896,1901,2074,2196,2306,2493,2601,2903,3003,3016,3357,,3699,3837,4341,,4978,6647,7486,9408,10334,11372,11581,11522,11420,11535,11583,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,4060,4197,4197,4153,4272,4204,,,4396,4402,,,,,,,4768,4328,4240,4098,3903,3939,,4522,4396,4270,4309,4297,3673,4792,4370,4318,4175,,,,
"Korea, Rep.",,,,,,,,,,,,1906918,2168559,2397804,2648254,2879948,3111510,3322010,3492091,3692809,3997316,4285889,4335025,4435000,4685353,4828026,4934975,5028026,4895354,4824097,4697277,4559557,4443751,4461857,4580040,4645849,4706541,4567366,4367683,4176780,3958702,3768040,3661759,3645617,3702150,3795981,3864005,3928039,3958781,3994713,3959451,3877799,3793127,3720130,3579411,3396766,3231795,3072037,2893979,,
Kuwait,,,,,,,,,,,,70734,78754,84935,90443,97689,108219,131589,143392,154982,167656,181882,196413,209592,220981,230913,239581,245697,256558,265001,271422,,167331,177675,187941,198661,206934,216223,225249,235106,239997,243757,,260695,267114,244432,236410,247233,249879,255101,263554,268827,274202,278581,283077,302047,,,,,
Latin America & Caribbean (excluding high income),,,,,,,,,,,9769046,10500000,12100000,13400000,16100000,17500000,19400000,21000000,22000000,33700000,34800000,35700000,36700000,37500000,38500000,27200000,40200000,40900000,41700000,42400000,43200000,43900000,44900000,45700000,46700000,47900000,49300000,50100000,52200000,52400000,54300000,54600000,55600000,54200000,55700000,56200000,56400000,56300000,57300000,58000000,58700000,59100000,59200000,61800000,61700000,61500000,61800000,61600000,61600000,61600000,
Lao PDR,,,,,,,,,,,,15453,18086,20819,,,,48669,64108,77289,82618,90435,,,105012,110714,113630,,135583,,137898,,125702,139819,155366,163657,169691,187867,210501,240267,264586,288389,320275,353362,379579,393856,395382,403833,412375,423514,434717,490290,515130,549735,600747,640231,665278,677497,678129,666155,
Lebanon,,,,,,,,,,,,165854,,174711,,,,,257798,,268733,287310,289073,,,267970,,,,,,,285500,,301274,323422,336970,347850,388667,389181,400699,335237,349930,364541,374052,377890,381466,384162,384726,391087,383226,394453,384851,389354,370359,382427,384075,401031,402502,406169,
Liberia,,,,,,,,,,,16771,18856,22624,,,34151,31224,,47446,53254,54623,,,,,,,,,,,,,,,,,,,113878,135509,,,,,,,,,,,237643,,,222857,226832,,,,,
Libya,,,,,,,,,,,,53953,62618,80797,107233,129875,166122,200063,225286,258343,284826,296197,,340703,,,406332,,,,,,,,,,,,,,,,824538,797992,,701536,732614,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,3610,3782,4180,4579,4522,4528,4568,,5077,4485,5020,5182,5205,6212,6833,7013,,,7802,8230,9419,10356,,,,11753,,11847,12530,12738,12743,12987,12878,13597,14377,15146,16014,16234,16017,15608,14721,14055,13566,13215,12694,12217,11792,11394,
Latin America & Caribbean,,,,,,,,,,,11100000,11900000,13500000,14900000,17700000,19100000,21000000,22700000,23800000,35500000,36600000,37500000,38400000,39500000,40500000,29300000,42300000,43000000,43800000,44600000,45200000,46200000,47200000,47800000,48900000,50100000,51500000,51900000,54500000,54700000,56700000,57100000,58200000,56900000,58400000,58900000,59200000,59000000,59900000,60600000,61300000,61600000,61700000,64500000,64300000,64100000,64400000,64200000,64100000,64200000,
Least developed countries: UN classification,,,,,,,,,,,6119324,6242451,6456710,6763783,6902395,7205517,7432805,7739302,8172017,8735712,9502198,9564079,10100000,10800000,11400000,11600000,11800000,12200000,12700000,13000000,13100000,14200000,15200000,16200000,17500000,19100000,20400000,21500000,23400000,24800000,26400000,28100000,29900000,31200000,32500000,33900000,36100000,37700000,39800000,42800000,45700000,48000000,50800000,54000000,56500000,58500000,61500000,62600000,64900000,65900000,
Low income,,,,,,,,,,,5126783,5398344,5658876,5859855,5963253,6176045,6407055,6708995,7128153,7636174,8139824,8655163,8926190,9266541,9664369,9811570,9900130,9956921,10100000,10100000,10000000,10200000,10100000,10300000,10700000,11300000,11700000,12000000,12700000,13200000,13900000,14900000,15900000,17600000,19100000,20400000,22100000,23300000,25100000,26700000,28400000,30000000,31600000,32000000,32700000,33500000,34400000,35400000,36300000,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3255,3273,3142,3190,3169,3213,3142,3274,3298,3277,,3387,3349,3272,3240,3087,,
Sri Lanka,,,,,,,,,,,941322,1017372,1123779,1145703,1132951,,1088089,,,,1267323,1293213,1315062,1367754,1421713,1462794,1526086,1898634,1961963,2024831,2081842,2106050,2185277,2246642,2315541,2314054,,,,,,,,,,,,,,,2524673,2573842,2590357,2605597,,,2618895,2648660,2727965,,
Lower middle income,,,,,,,,,,,43400000,44500000,46300000,48100000,49600000,51400000,53400000,55700000,58000000,60800000,64200000,67000000,70900000,76000000,80200000,83900000,86600000,89000000,90900000,92800000,98300000,104000000,110000000,117000000,121000000,125000000,128000000,133000000,136000000,137000000,144000000,148000000,155000000,162000000,167000000,173000000,177000000,183000000,190000000,193000000,203000000,211000000,219000000,224000000,234000000,237000000,242000000,242000000,249000000,251000000,
Low & middle income,,,,,,,,,,,111000000,120000000,130000000,139000000,143000000,149000000,162000000,180000000,194000000,207000000,206000000,207000000,206000000,210000000,217000000,213000000,234000000,241000000,247000000,249000000,253000000,262000000,271000000,281000000,289000000,300000000,313000000,326000000,337000000,345000000,359000000,371000000,384000000,396000000,408000000,415000000,421000000,430000000,438000000,443000000,453000000,463000000,471000000,480000000,488000000,490000000,494000000,496000000,505000000,510000000,
Lesotho,,,,,,,,,,,15317,8815,10006,13792,,16476,17795,18955,19512,23368,25292,28107,29608,33421,35444,37343,39478,43368,45951,47212,48209,48505,52598,55984,62399,67173,68132,72170,72235,73620,74313,79266,82256,84273,89864,94496,96073,101738,107322,115805,125823,130831,134543,130476,130836,133434,128780,136497,,,
Late-demographic dividend,,,,,,,,,,,63500000,71100000,78100000,84100000,85100000,88000000,97400000,112000000,122000000,131000000,125000000,122000000,115000000,113000000,114000000,105000000,121000000,125000000,126000000,125000000,124000000,126000000,128000000,131000000,133000000,138000000,145000000,151000000,157000000,162000000,167000000,172000000,176000000,179000000,183000000,183000000,182000000,181000000,180000000,178000000,176000000,174000000,170000000,171000000,166000000,163000000,160000000,160000000,161000000,163000000,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,466166,,,426105,412663,396036,379162,356678,347434,351517,365351,378754,389732,406950,421120,433054,442830,447952,431303,423706,410507,393889,376683,358395,342905,325215,304753,294274,277349,263242,250870,242640,232993,,
Luxembourg,,,,,,,,,,,,16430,16828,17362,17844,21934,22652,23314,24056,24181,24312,27487,27818,27806,27420,,25656,24871,22496,,,,20817,21989,23138,25607,27482,28796,29637,32513,32996,33606,34038,34716,35208,35946,37009,38209,39349,,42536,43177,44237,46256,46872,47027,47715,48211,48749,,
Latvia,,,,,,,,,,,,,,,,,,,,,,279178,282231,284265,285884,288177,288315,288760,286433,283055,275122,264475,254196,246877,245130,243582,240112,239318,248159,255381,266498,274193,278230,276072,275586,271631,258432,195745,182805,158325,147375,136448,124802,126942,121580,117761,116471,117360,117326,,
"Macao SAR, China",,,,,,,,,,,,10007,9606,10279,10671,9498,11758,14305,13150,15268,,,,,,,,,,,16687,,18978,20383,,,,,,31859,35367,38943,42017,44425,46509,46539,46393,45410,41271,39328,38222,37224,35726,33921,32054,30088,28745,27473,26608,26022,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,298880,313424,335190,361725,403673,486173,529027,589610,662034,726595,797110,888123,968327,1046136,1130185,1248702,1331971,1415530,1418812,1450112,1194377,1235527,1274982,1338508,1375703,1412316,1442049,1443407,1469794,1541100,1608279,1685063,1758057,1879483,1948006,2061046,2171687,2241514,2330649,2393275,2478987,2554050,,,,,2847122,2871043,2920791,
Monaco,,,,,,,,,,,,2445,2547,,,,,,2825,,,,,3132,,,,,,,,2785,2858,,2835,2861,2907,2886,2912,2883,2929,2971,,,3078,,,,3015,3017,2999,3060,3024,3042,3085,3297,3319,3426,3426,3370,3392
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470068,459701,448404,441955,444422,441573,440622,445501,,415319,413910,413418,413916,410590,406716,394469,381543,367636,347202,328418,307619,289402,274365,260185,245773,233260,226960,227263,226281,224148,
Madagascar,,,,,,,,,,,,113270,114487,,123654,,,,,175760,233578,,,,530021,,,,366455,345302,348922,,,,,,,,,,,,,,,621173,726998,833568,945245,1022464,,1313804,1405063,,1493830,1536209,1561307,1534273,1548208,1494520,
Maldives,,,,,,,,,,,327,336,,,,,,,,,998,1217,1870,2756,,,,,,,,,,,21409,23889,26701,32463,12281,14988,20010,24607,25365,28612,28878,,,,,,,,,,,,,,22765,21293,
Middle East & North Africa,,,,,,,,,,,5139193,5273492,5976024,6433580,6943144,7665322,8428747,9209384,10300000,10900000,11500000,12100000,12800000,13500000,14200000,15000000,16100000,17000000,17800000,18500000,20400000,20900000,21500000,22900000,24800000,25900000,27000000,28600000,30200000,31600000,32800000,33700000,34500000,35800000,36400000,36300000,36200000,36000000,36100000,36400000,36300000,37500000,37600000,35700000,35200000,35500000,35800000,36100000,36800000,37600000,
Mexico,,,,,,,,,,,,1584342,1757018,2017093,2289850,2554041,2938972,3263507,3502830,3914251,4285016,4741850,5332131,5716238,6064264,6247856,6549105,6702732,6806073,6865763,6795244,6704297,6704188,6782886,6977086,7264620,7589414,7914165,8406782,8721726,9094103,9357144,9692976,10188185,10403853,10564404,10883455,11122276,11444055,11474843,11681530,11836424,12139246,12467278,12993322,13473206,13725467,14034552,14160635,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5957,,,6353,5781,5846,5260,5369,5369,5358,5229,,,,,,5454,5500,,,5764,
Middle income,,,,,,,,,,,106000000,115000000,124000000,133000000,137000000,143000000,155000000,173000000,186000000,199000000,198000000,198000000,197000000,201000000,207000000,204000000,224000000,232000000,237000000,239000000,243000000,251000000,261000000,270000000,278000000,289000000,301000000,314000000,324000000,332000000,345000000,356000000,368000000,379000000,389000000,394000000,399000000,407000000,413000000,416000000,425000000,433000000,439000000,448000000,455000000,457000000,460000000,461000000,469000000,473000000,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200661,201498,205202,209190,211619,215374,218666,221961,222081,218834,218649,215760,214005,,208364,203853,199064,196991,,186149,177048,170834,168967,,161128,155815,,
Mali,,,,,,,,,,,,34620,35847,39439,42928,49034,55444,61999,70709,78086,78707,64124,75819,70453,73218,67841,,63768,66431,75213,76501,84220,98737,102781,120912,139777,151554,168898,188109,217700,257833,,,349615,388418,429716,474976,533849,612012,686071,758285,821160,,882380,961046,945484,1013780,1017415,1046493,,
Malta,,,,,,,,,,,,24388,28137,28231,28434,31736,32409,30285,28921,27302,27673,25501,26700,27257,27901,27899,27779,27858,28806,30210,31837,32544,34358,34619,34955,35527,35044,35451,35682,35457,36074,36158,36236,36978,41353,40129,38335,38499,37774,,37163,32227,31768,30989,30230,29434,28776,30760,30925,,
Myanmar,,,,,,,,,,,,791059,823720,871880,,,933486,896312,895058,968900,996200,1066300,1163970,1223623,1236577,1243688,1273073,1335773,1347956,1430199,1138961,1281165,1408030,1439735,1530378,1752510,,,,2059007,2268402,2301919,2372593,2382608,2544437,2589312,2696307,2686198,2828868,2812866,2852447,,,,3191268,,3748367,3970936,4186742,,
Middle East & North Africa (excluding high income),,,,,,,,,,,4555045,4675628,5354445,5792216,6276810,6969775,7697469,8433126,9443828,10000000,10600000,11100000,11700000,12300000,12900000,13600000,14600000,15400000,16100000,16700000,18400000,18900000,19400000,20600000,22300000,23200000,24100000,25500000,26900000,28300000,29300000,30100000,30700000,31800000,32300000,32000000,31800000,31400000,31400000,31500000,31400000,32500000,32500000,30500000,29900000,30100000,30500000,30900000,31300000,32000000,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69627,68807,68471,68218,67683,67015,68135,69619,64164,63013,,,60504,58540,57575,57085,56896,
Mongolia,,,,,,,,,,,,96571,102668,147505,158585,173111,184688,,,224041,237190,248169,,256700,,,285862,,,,312494,301131,275061,242191,239661,229769,235798,195408,202566,205229,225848,258265,282089,312774,333193,339249,329264,,,305791,275983,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,42868,46128,54650,,,,46656,57300,78092,105263,102745,107849,121033,,151888,155353,116928,,,160177,162486,159202,163747,169520,185181,,,,103147,123810,142553,180531,,243428,305877,367962,443974,512266,598424,671902,716289,727895,1008992,1025975,1073111,,1216214,,,
Mauritania,,,,,,,,,,,,,4565,,,,,,,,,22102,,,,,35955,37937,39341,39154,37325,37653,39821,43034,45810,49008,51765,52499,56687,61711,65606,76658,78730,84407,88926,92796,98946,,97213,106491,110206,124421,151531,171265,178968,187560,199920,204156,236775,259873,
Mauritius,,,,,,,,,,,,48468,53657,57406,62015,65113,69061,79961,81700,83252,81926,79534,77779,77838,74795,72551,70681,71922,74717,78776,79229,,86024,,,,95932,97405,101517,104070,105432,107846,111766,118234,122556,129438,128925,130463,129257,128680,127002,126864,127123,129179,133001,129008,128761,125270,122424,122055,
Malawi,,,,,,,,,,,,,65634,71134,70050,80752,85974,97119,106026,111447,130975,138498,149532,153679,163391,168137,174752,187746,194387,199043,212075,222225,257558,245096,218707,322999,343314,,472734,556322,486786,518251,517690,,505303,516462,565467,574003,636416,666679,692157,736364,761366,853210,920209,961589,951555,998940,1040975,989847,
Malaysia,,,,,,,,,,,609376,655265,701563,,853592,933411,975288,988914,1038049,1075880,1083818,1135143,1141387,1217308,1272930,1294990,1381495,1452924,1452966,1468828,1456497,1511084,1566790,1572837,1613182,1651684,1736414,1794515,2153537,2176863,2205426,2246874,2300062,2518642,2583993,2489117,2516116,2499165,2537203,2546102,2615717,2627704,2757435,2754185,2846473,2801439,2759653,2744639,2592970,2602216,
