,X,Y,Z,ClusterID
0,5.13577938997,4.16754223738,5.78763540101,4
1,4.28072069869,5.77090875415,6.09104420484,4
2,8.32909790493,7.54043594527,3.24723940444,2
3,5.47022447307,5.06924900954,5.76831343882,4
4,2.38179702512,2.40237388913,3.87910085829,1
5,8.60360313272,7.81454049873,4.66515611283,2
6,5.43730281412,4.339278491,5.28986637851,4
7,5.20821220032,4.34257522917,7.88349300188,3
8,7.99200149226,6.70730735136,2.07881096369,2
9,8.54720845704,7.62494562822,6.35326702108,2
10,5.05510880636,5.99169531222,5.77954272892,4
11,8.29655433748,8.05122222897,4.26845146726,2
12,8.35840594023,7.77183021603,3.3136813428,2
13,4.96499508691,5.56176547834,2.15516777667,5
14,5.34011955033,5.24243712517,7.79003044412,3
15,4.57417205937,4.90845259846,5.22348926233,4
16,5.38654141498,5.94718746928,8.49319601507,3
17,1.80793428748,2.00682965669,5.0303377129,1
18,1.94598797163,2.03796942979,4.95865195597,1
19,7.8137347268,7.97888782245,4.17560273122,2
20,5.2186517932,3.18246031945,7.57174195521,3
21,5.29438738143,5.26624353107,5.02479085929,4
22,5.49047604211,5.64493907855,4.59556898331,4
23,8.38236231553,7.94977694563,4.00176931935,2
24,4.35781709059,5.28267557057,7.94961179624,3
25,2.09393496115,2.17459976806,5.638563719,1
26,5.15286380324,5.74854079092,7.83131715925,3
27,1.68290095786,2.81550257564,2.68010129047,1
28,5.21458466745,2.67475127871,2.54122124513,5
29,5.19209569448,5.45201399045,5.20125675284,4
30,4.75218010411,5.10296573503,1.59287570187,5
31,7.74068703013,7.8224430977,4.4489191829,2
32,7.97290781339,7.7122942857,6.97061138723,2
33,5.40058687969,6.02695051063,7.89193458643,3
34,4.98982160799,5.14583176635,6.11876880914,4
35,8.12554667017,6.67553160732,7.91126924197,2
36,4.9867132074,4.86009675831,5.08374954877,4
37,4.49254248503,6.02224022533,2.40168906613,5
38,1.96366736998,2.38829227315,3.72318253757,1
39,5.1601679249,6.50270591374,2.1408887706,5
40,7.64917068294,7.6093571153,3.77134458577,2
41,2.20752074195,2.13935404977,5.51333155772,1
42,1.45480745563,2.10014864152,5.83176456804,1
43,2.58527756506,2.58985774795,3.36518268157,1
44,7.63462782092,7.13951030055,7.31582896882,2
45,5.44357036592,5.08780103218,5.1865146078,4
46,4.89382489266,6.15282897132,7.72878429245,3
47,4.95144456823,4.83920274034,5.28916962408,4
48,5.28215892774,3.46365387028,7.81797356037,3
49,1.68438708867,2.03606465811,5.26861063372,1
50,4.97866824153,4.40798336156,8.19270512199,3
51,5.06827445296,6.22704123005,2.27604477853,5
52,4.79862393672,6.30988479038,2.3134774704,5
53,4.5441458288,4.48672961433,1.89469850709,5
54,8.2463818667,8.11540790895,5.8553411352,2
55,1.94904403548,2.15495169765,4.51751297382,1
56,5.13640349482,2.86809645295,7.34852955313,3
